Slice,Count,Total Area,Average Size,%Area,Mean
2021-06-07_300-Manitol_Vir-1_1,19,56.453,2.971,33.151,255
2021-06-07_300-Manitol_Vir-1_2,11,0.918,0.083,0.425,255
2021-06-07_300-Manitol_Vir-1_3,10,1.043,0.104,0.483,255
2021-06-07_controll_4b-1_1,11,2.115,0.192,0.980,255
2021-06-07_controll_4b-1_2,14,2.492,0.178,1.155,255
2021-06-07_controll_4b-1_3,14,2.423,0.173,1.123,255
2021-06-07_controll_4b-2_1,10,2.010,0.201,0.932,255
2021-06-07_controll_4b-2_2,14,1.874,0.134,0.869,255
2021-06-07_controll_4b-2_3,11,2.065,0.188,0.957,255
2021-06-07_controll_4b-4_1,15,2.326,0.155,1.078,255
2021-06-07_controll_4b-4_2,17,2.501,0.147,1.159,255
2021-06-07_controll_4b-4_3,9,1.900,0.211,0.881,255
2021-06-07_controll_Col-0_1,13,3.146,0.242,1.458,255
2021-06-07_controll_Col-0_2,13,3.273,0.252,1.517,255
2021-06-07_controll_Col-0_3,16,3.458,0.216,1.603,255
2021-06-07_controll_fip-37_1,13,2.232,0.172,1.035,255
2021-06-07_controll_fip-37_2,14,1.865,0.133,0.865,255
2021-06-07_controll_fip-37_3,15,2.065,0.138,0.957,255
2021-06-07_controll_Vir-1_1,11,0.974,0.089,0.452,255
2021-06-07_controll_Vir-1_2,14,1.308,0.093,0.606,255
2021-06-07_controll_Vir-1_3,17,1.534,0.090,0.711,255
2021-06-07_heat_4b-1_1,13,1.867,0.144,0.865,255
2021-06-07_heat_4b-1_2,12,1.340,0.112,0.621,255
2021-06-07_heat_4b-1_3,11,1.785,0.162,0.828,255
2021-06-07_heat_4b-2_1,14,1.725,0.123,0.800,255
2021-06-07_heat_4b-2_2,10,1.688,0.169,0.783,255
2021-06-07_heat_4b-2_3,9,1.215,0.135,0.563,255
2021-06-07_heat_4b-4_1,17,2.340,0.138,1.085,255
2021-06-07_heat_4b-4_2,11,1.396,0.127,0.647,255
2021-06-07_heat_4b-4_3,10,1.350,0.135,0.626,255
2021-06-07_heat_Col-0_1,13,2.403,0.185,1.114,255
2021-06-07_heat_Col-0_2,13,2.926,0.225,1.357,255
2021-06-07_heat_Col-0_3,10,2.147,0.215,0.996,255
2021-06-07_heat_fip-37_1,10,1.019,0.102,0.473,255
2021-06-07_heat_fip-37_2,12,1.062,0.089,0.492,255
2021-06-07_heat_fip-37_3,11,1.126,0.102,0.522,255
2021-06-07_heat_Vir-1_1,11,1.057,0.096,0.490,255
2021-06-07_heat_Vir-1_2,13,1.091,0.084,0.506,255
2021-06-07_heat_Vir-1_3,14,1.198,0.086,0.556,255
2021-06-09_150-Manitol_4b-1_1.JPG,16,3.875,0.242,1.796,255
2021-06-09_150-Manitol_4b-1_2.JPG,14,3.846,0.275,1.783,255
2021-06-09_150-Manitol_4b-1_3.JPG,13,4.020,0.309,1.864,255
2021-06-09_150-Manitol_4b-2_1.JPG,17,3.876,0.228,1.797,255
2021-06-09_150-Manitol_4b-2_2.JPG,17,4.000,0.235,1.855,255
2021-06-09_150-Manitol_4b-2_3.JPG,18,4.352,0.242,2.017,255
2021-06-09_150-Manitol_4b-4_1.JPG,16,3.855,0.241,1.787,255
2021-06-09_150-Manitol_4b-4_2.JPG,10,5.268,0.527,2.442,255
2021-06-09_150-Manitol_4b-4_3.JPG,17,4.110,0.242,1.906,255
2021-06-09_150-Manitol_Col-0_1.JPG,14,5.156,0.368,2.390,255
2021-06-09_150-Manitol_Col-0_2.JPG,14,5.118,0.366,2.373,255
2021-06-09_150-Manitol_Col-0_3.JPG,17,5.795,0.341,2.687,255
2021-06-09_150-Manitol_fip-37_1.JPG,14,2.496,0.178,1.157,255
2021-06-09_150-Manitol_fip-37_2.JPG,11,1.898,0.173,0.880,255
2021-06-09_150-Manitol_fip-37_3.JPG,15,3.299,0.220,1.530,255
2021-06-09_150-Manitol_Vir-1_1.JPG,13,2.529,0.195,1.172,255
2021-06-09_150-Manitol_Vir-1_2.JPG,16,1.927,0.120,0.893,255
2021-06-09_150-Manitol_Vir-1_3.JPG,13,1.790,0.138,0.830,255
2021-06-09_150-NaCl_4b-1_1.JPG,15,5.006,0.334,2.321,255
2021-06-09_150-NaCl_4b-1_2.JPG,16,5.778,0.361,2.679,255
2021-06-09_150-NaCl_4b-1_3.JPG,15,4.302,0.287,1.994,255
2021-06-09_150-NaCl_4b-2_1.JPG,15,5.470,0.365,2.536,255
2021-06-09_150-NaCl_4b-2_2.JPG,15,5.521,0.368,2.559,255
2021-06-09_150-NaCl_4b-2_3.JPG,18,5.098,0.283,2.363,255
2021-06-09_150-NaCl_4b-4_1.JPG,14,4.809,0.343,2.229,255
2021-06-09_150-NaCl_4b-4_2.JPG,13,5.383,0.414,2.495,255
2021-06-09_150-NaCl_4b-4_3.JPG,13,5.624,0.433,2.607,255
2021-06-09_150-NaCl_Col-0_1.JPG,14,6.770,0.484,3.139,255
2021-06-09_150-NaCl_Col-0_2.JPG,15,8.287,0.552,3.842,255
2021-06-09_150-NaCl_Col-0_3.JPG,15,8.686,0.579,4.027,255
