Slice,Count,Total Area,Average Size,%Area,Mean
2021-06-04_200-Manitol_Col-0_3,17,1.879,0.111,1.117,255
2021-06-04_200-Manitol_fip-37_1,11,0.663,0.060,0.394,255
2021-06-04_200-Manitol_fip-37_2,14,0.857,0.061,0.510,255
2021-06-04_200-Manitol_fip-37_3,11,0.705,0.064,0.419,255
2021-06-04_200-Manitol_Vir-1_1,16,0.984,0.061,0.585,255
2021-06-04_200-Manitol_Vir-1_2,9,0.518,0.058,0.308,255
2021-06-04_200-Manitol_Vir-1_3,10,0.508,0.051,0.302,255
2021-06-04_300-Manitol_4b-1_1,10,0.556,0.056,0.331,255
2021-06-04_300-Manitol_4b-1_2,10,0.714,0.071,0.424,255
2021-06-04_300-Manitol_4b-1_3,10,0.803,0.080,0.478,255
