Slice,Count,Total Area,Average Size,%Area,Mean
2021-06-16_300-Manitol_4b-1_3,10,34.876,3.488,19.706,255
2021-06-16_300-Manitol_4b-2_1,10,35.953,3.595,20.315,255
2021-06-16_300-Manitol_4b-2_2,10,33.721,3.372,19.054,255
2021-06-16_300-Manitol_4b-2_3,10,44.923,4.492,25.383,255
2021-06-16_300-Manitol_4b-4_1,10,46.183,4.618,26.095,255
2021-06-16_300-Manitol_4b-4_2,11,35.520,3.229,20.070,255
2021-06-16_300-Manitol_4b-4_3,10,49.265,4.927,27.836,255
2021-06-16_300-Manitol_Col-0_1,11,43.073,3.916,24.338,255
2021-06-16_300-Manitol_Col-0_2,10,43.504,4.350,24.581,255
2021-06-16_300-Manitol_Col-0_3,12,39.758,3.313,22.465,255
2021-06-16_300-Manitol_fip-37_1,10,42.643,4.264,24.095,255
2021-06-16_300-Manitol_fip-37_2,10,37.116,3.712,20.972,255
2021-06-16_300-Manitol_fip-37_3,10,36.119,3.612,20.409,255
2021-06-16_300-Manitol_Vir-1_1,10,42.160,4.216,23.822,255
2021-06-16_300-Manitol_Vir-1_2,11,38.413,3.492,21.705,255
2021-06-16_300-Manitol_Vir-1_3,11,38.413,3.492,21.705,255
2021-06-16_controll_4b-1_1,9,54.914,6.102,31.028,255
2021-06-16_controll_4b-1_2,10,51.987,5.199,29.374,255
2021-06-16_controll_4b-1_3,10,54.509,5.451,30.799,255
2021-06-16_controll_4b-2_1,10,57.202,5.720,32.321,255
2021-06-16_controll_4b-2_2,10,52.225,5.223,29.509,255
2021-06-16_controll_4b-2_3,10,63.845,6.385,36.075,255
2021-06-16_controll_4b-4_1,10,47.417,4.742,26.792,255
2021-06-16_controll_4b-4_2,9,59.208,6.579,33.454,255
2021-06-16_controll_4b-4_3,10,41.448,4.145,23.419,255
2021-06-16_controll_Col-0_1,10,61.098,6.110,34.522,255
2021-06-16_controll_Col-0_2,10,61.236,6.124,34.601,255
2021-06-16_controll_Col-0_3,10,59.068,5.907,33.375,255
2021-06-16_controll_fip-37_1,12,35.137,2.928,19.854,255
2021-06-16_controll_fip-37_2,10,38.474,3.847,21.739,255
2021-06-16_controll_fip-37_3,10,34.372,3.437,19.421,255
2021-06-16_controll_Vir-1_1,10,30.268,3.027,17.103,255
2021-06-16_controll_Vir-1_2,7,29.242,4.177,16.523,255
2021-06-16_controll_Vir-1_3,10,36.147,3.615,20.424,255
2021-06-16_heat_4b-1_1,10,44.177,4.418,24.961,255
2021-06-16_heat_4b-1_2,6,32.468,5.411,18.346,255
2021-06-16_heat_4b-1_3,9,46.869,5.208,26.483,255
2021-06-16_heat_4b-2_1,9,37.603,4.178,21.247,255
