Slice,Count,Total Area,Average Size,%Area,Mean
2021-06-09_heat_Vir-1_3.JPG,1369,20.731,0.015,12.174,255
2021-06-04_150-Manitol_4b-1_1,575,14.999,0.026,8.808,255
2021-06-04_150-Manitol_4b-1_2,255,16.994,0.067,9.979,255
2021-06-04_150-Manitol_4b-1_3,1864,24.929,0.013,14.639,255
2021-06-04_150-Manitol_4b-2_1,57,20.902,0.367,12.274,255
2021-06-04_150-Manitol_4b-2_2,116,19.307,0.166,11.337,255
2021-06-04_150-Manitol_4b-2_3,116,16.756,0.144,9.839,255
2021-06-04_150-Manitol_4b-4_1,170,13.643,0.080,8.012,255
2021-06-04_150-Manitol_4b-4_2,1115,19.844,0.018,11.653,255
2021-06-04_150-Manitol_4b-4_3,355,13.757,0.039,8.078,255
2021-06-04_150-Manitol_Col-0_1,332,17.408,0.052,10.223,255
2021-06-04_150-Manitol_Col-0_2,1095,21.530,0.020,12.643,255
2021-06-04_150-Manitol_Col-0_3,121,16.411,0.136,9.637,255
2021-06-04_150-Manitol_fip-37_1,307,16.112,0.052,9.462,255
2021-06-04_150-Manitol_fip-37_2,1491,23.256,0.016,13.657,255
2021-06-04_150-Manitol_fip-37_3,286,9.276,0.032,5.447,255
2021-06-04_150-Manitol_Vir-1_1,251,16.870,0.067,9.906,255
2021-06-04_150-Manitol_Vir-1_2,194,12.369,0.064,7.264,255
2021-06-04_150-Manitol_Vir-1_3,610,14.924,0.024,8.764,255
2021-06-04_150-NaCl_4b-1_1,133,8.004,0.060,4.700,255
2021-06-04_150-NaCl_4b-1_2,1905,13.437,0.007,7.891,255
2021-06-04_150-NaCl_4b-1_3,265,11.696,0.044,6.868,255
2021-06-04_150-NaCl_4b-2_1,2279,16.971,0.007,9.966,255
2021-06-04_150-NaCl_4b-2_2,1592,25.383,0.016,14.906,255
2021-06-04_150-NaCl_4b-2_3,277,12.401,0.045,7.282,255
2021-06-04_150-NaCl_4b-4_1,2151,24.702,0.011,14.506,255
2021-06-04_150-NaCl_4b-4_2,2038,27.429,0.013,16.107,255
2021-06-04_150-NaCl_4b-4_3,3189,25.401,0.008,14.917,255
2021-06-04_150-NaCl_Col-0_1,141,10.269,0.073,6.030,255
2021-06-04_150-NaCl_Col-0_2,338,12.047,0.036,7.074,255
2021-06-04_150-NaCl_Col-0_3,168,13.601,0.081,7.987,255
2021-06-04_150-NaCl_fip-37_1,249,7.566,0.030,4.443,255
2021-06-04_150-NaCl_fip-37_2,359,11.159,0.031,6.553,255
2021-06-04_150-NaCl_fip-37_3,418,18.738,0.045,11.004,255
2021-06-04_150-NaCl_Vir-1_1,303,16.025,0.053,9.410,255
2021-06-04_150-NaCl_Vir-1_2,96,16.779,0.175,9.853,255
2021-06-04_150-NaCl_Vir-1_3,1639,25.028,0.015,14.698,255
2021-06-04_200-Manitol_4b-1_1,165,17.620,0.107,10.347,255
2021-06-04_200-Manitol_4b-1_2,196,14.934,0.076,8.770,255
2021-06-04_200-Manitol_4b-1_3,359,15.923,0.044,9.351,255
2021-06-04_200-Manitol_4b-2_1,325,18.217,0.056,10.697,255
2021-06-04_200-Manitol_4b-2_2,431,15.498,0.036,9.101,255
2021-06-04_200-Manitol_4b-2_3,185,18.077,0.098,10.615,255
2021-06-04_200-Manitol_4b-4_1,177,17.244,0.097,10.126,255
2021-06-04_200-Manitol_4b-4_2,178,17.662,0.099,10.372,255
2021-06-04_200-Manitol_4b-4_3,208,15.673,0.075,9.204,255
